Category,Product,Details,Link
Analytics,Amazon Athena,Query data in S3 using SQL,https://aws.amazon.com/athena/?nc2=h_ql_prod_an_ath
Analytics,Amazon CloudSearch,Managed search service,https://aws.amazon.com/cloudsearch/?nc2=h_ql_prod_an_cs
Analytics,Amazon Elasticsearch Service,Run and scale Elasticsearch clusters,https://aws.amazon.com/elasticsearch-service/?nc2=h_ql_prod_an_es
Analytics,Amazon EMR,Hosted Hadoop framework,https://aws.amazon.com/emr/?nc2=h_ql_prod_an_emr
Analytics,Amazon Kinesis,Analyze real-time video and data streams,https://aws.amazon.com/kinesis/?nc2=h_ql_prod_an_kin
Analytics,Amazon Managed Streaming for Apache Kafka,Fully managed Apache Kafka service,https://aws.amazon.com/msk/?nc2=h_ql_prod_an_msak
Analytics,Amazon Redshift,"Fast, simple, cost-effective data warehousing",https://aws.amazon.com/redshift/?nc2=h_ql_prod_an_rs
Analytics,Amazon QuickSight,Fast business analytics service,https://aws.amazon.com/quicksight/?nc2=h_ql_prod_an_qs
Analytics,AWS Data Exchange,"Find, subscribe to, and use third-party data in the cloud",https://aws.amazon.com/data-exchange/?nc2=h_ql_prod_an_dex
Analytics,AWS Data Pipeline,"Orchestration service for periodic, data-driven workflows",https://aws.amazon.com/datapipeline/?nc2=h_ql_prod_an_dp
Analytics,AWS Glue,"Simple, scalable, and serverless data integration",https://aws.amazon.com/glue/?nc2=h_ql_prod_an_glu
Analytics,AWS Lake Formation,Build a secure data lake in days,https://aws.amazon.com/lake-formation/?nc2=h_ql_prod_an_lkf
Application Integration,AWS Step Functions,Coordination for distributed applications,https://aws.amazon.com/step-functions/?nc2=h_ql_prod_ap_stf
Application Integration,Amazon AppFlow,No-code integration for SaaS apps & AWS services,https://aws.amazon.com/appflow/?nc2=h_ql_prod_ap_af
Application Integration,Amazon EventBridge,Serverless event bus for SaaS apps & AWS services,https://aws.amazon.com/eventbridge/?nc2=h_ql_prod_ap_eb
Application Integration,Amazon Managed Workflows for Apache Airflow,"Highly available, secure, and managed workflow orchestration",https://aws.amazon.com/managed-workflows-for-apache-airflow/?nc2=h_ql_prod_ap_af
Application Integration,Amazon MQ,Managed message broker service,https://aws.amazon.com/amazon-mq/?nc2=h_ql_prod_ap_mq
Application Integration,Amazon Simple Notification Service (SNS),"Pub/sub, SMS, email, and mobile push notifications",https://aws.amazon.com/sns/?nc2=h_ql_prod_ap_sns
Application Integration,Amazon Simple Queue Service (SQS),Managed message queues,https://aws.amazon.com/sqs/?nc2=h_ql_prod_ap_sqs
Application Integration,AWS AppSync,"Power your apps with the right data from many sources, at scale",https://aws.amazon.com/appsync/?nc2=h_ql_prod_ap_as
AWS Cost Management,AWS Cost Explorer,Analyze your AWS cost and usage,https://aws.amazon.com/aws-cost-management/aws-cost-explorer/?nc2=h_ql_prod_cm_cex
AWS Cost Management,AWS Budgets,Set custom cost and usage budgets,https://aws.amazon.com/aws-cost-management/aws-budgets/?nc2=h_ql_prod_cm_bud
AWS Cost Management,AWS Cost and Usage Report,Access comprehensive cost and usage information,https://aws.amazon.com/aws-cost-management/aws-cost-and-usage-reporting/?nc2=h_ql_prod_cm_cur
AWS Cost Management,Reserved Instance Reporting,Dive deeper into your reserved instances (RIs),https://aws.amazon.com/aws-cost-management/reserved-instance-reporting/?nc2=h_ql_prod_cm_rir
